isotope,ST1-charged (g),ST1-discharged (g),ST2-charged (g),ST2-discharged (g)
PD120,0.000E+00,2.011E-08,0.000E+00,0.000E+00
PD121,0.000E+00,1.081E-09,0.000E+00,0.000E+00
PD122,0.000E+00,7.195E-10,0.000E+00,0.000E+00
PD123,0.000E+00,5.213E-11,0.000E+00,0.000E+00
PD124,0.000E+00,2.591E-11,0.000E+00,0.000E+00
PD126,0.000E+00,4.863E-13,0.000E+00,0.000E+00
AG107,0.000E+00,1.861E-04,0.000E+00,5.351E-04
AG108,0.000E+00,2.912E-11,0.000E+00,9.412E-13
AG108M,0.000E+00,5.834E-06,0.000E+00,1.000E-03
AG109,0.000E+00,2.882E+02,0.000E+00,2.661E+02
AG109M,0.000E+00,9.033E-05,0.000E+00,3.481E-11
AG110,0.000E+00,8.436E-06,0.000E+00,1.881E-10
AG110M,0.000E+00,1.972E-01,0.000E+00,1.220E-02
AG111,0.000E+00,3.332E-01,0.000E+00,0.000E+00
AG111M,0.000E+00,3.322E-05,0.000E+00,0.000E+00
AG112,0.000E+00,3.022E-03,0.000E+00,0.000E+00
AG113,0.000E+00,3.102E-03,0.000E+00,0.000E+00
AG113M,0.000E+00,1.221E-06,0.000E+00,0.000E+00
AG114,0.000E+00,6.204E-07,0.000E+00,0.000E+00
AG115,0.000E+00,1.021E-04,0.000E+00,0.000E+00
AG115M,0.000E+00,5.704E-07,0.000E+00,0.000E+00
AG116,0.000E+00,7.395E-06,0.000E+00,0.000E+00
AG116M,0.000E+00,3.922E-07,0.000E+00,0.000E+00
AG117,0.000E+00,3.152E-06,0.000E+00,0.000E+00
AG117M,0.000E+00,2.281E-07,0.000E+00,0.000E+00
AG118,0.000E+00,1.101E-08,0.000E+00,0.000E+00
AG118M,0.000E+00,1.511E-07,0.000E+00,0.000E+00
AG119,0.000E+00,5.223E-07,0.000E+00,0.000E+00
AG120,0.000E+00,4.373E-08,0.000E+00,0.000E+00
AG121,0.000E+00,5.823E-08,0.000E+00,0.000E+00
AG122,0.000E+00,9.986E-10,0.000E+00,0.000E+00
AG123,0.000E+00,4.533E-09,0.000E+00,0.000E+00
AG124,0.000E+00,6.874E-10,0.000E+00,0.000E+00
AG125,0.000E+00,4.573E-10,0.000E+00,0.000E+00
AG126,0.000E+00,6.365E-11,0.000E+00,0.000E+00
AG128,0.000E+00,6.344E-12,0.000E+00,0.000E+00
CD108,0.000E+00,1.270E-05,0.000E+00,1.981E-03
CD109,0.000E+00,1.071E-07,0.000E+00,3.500E-05
CD110,0.000E+00,2.331E+01,0.000E+00,1.591E+02
CD111,0.000E+00,6.414E+01,0.000E+00,8.542E+01
CD111M,0.000E+00,8.876E-07,0.000E+00,0.000E+00
CD112,0.000E+00,4.363E+01,0.000E+00,3.991E+01
